"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-6723.21008834312,5.42401977103967,4.08267474528801e-16,5.05168279148864
"2","GTR","relaxed_log_normal","yule",-6721.06812940512,6.90000368774341,3.47684819896174e-15,11.1336192370357
"3","GTR","strict","birth_death",-6695.33751395292,3.59134645069353,0.000519816470900248,12.7828009283653
"4","GTR","strict","yule",-6707.69941799575,5.7707252500226,0.00000000222404374310713,4.78653352734815
"5","HKY","relaxed_log_normal","birth_death",-6709.45682626037,5.69292856629659,0.000000000383628278580605,9.8519162856952
"6","HKY","relaxed_log_normal","yule",-6703.34813097217,5.18199434959324,0.000000172537407569382,14.2314691111897
"7","HKY","strict","birth_death",-6704.48663388099,5.46657938122215,0.000000055263417390624,7.8007206400413
"8","HKY","strict","yule",-6689.66178289293,2.56145253778668,0.151631250482471,10.5947966047189
"9","JC69","relaxed_log_normal","birth_death",-6688.09792729566,3.30904040878945,0.724373531612237,5.833060461634
"10","JC69","relaxed_log_normal","yule",-6689.8739795892,3.47881924773449,0.122640203444852,4.65425631007655
"11","JC69","strict","birth_death",-6694.89291751677,3.98896647165172,0.000810841214237452,8.31654091859275
"12","TN93","relaxed_log_normal","birth_death",-6698.44218571023,4.70134566255861,0.0000233081725289571,5.23651145579246
"13","TN93","relaxed_log_normal","yule",-6704.62464337762,5.17501150923157,0.0000000481394334257372,7.10944273448962
"14","TN93","strict","birth_death",-6701.85228330885,4.50540972594179,0.000000770054838969608,10.056571024103
"15","TN93","strict","yule",-6780.87568187316,4.36504379977718,3.69058928544996e-41,9.18843213326079
