#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_twin" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_twin" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_twin" name="distribution" x="@birthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment_twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-8765.916972627088	-8759.296164981753	-6.620807645334903	-8759.296164981753	2.5426552873454145	-6.620807645334903	1.0
1000	-6683.461736603249	-6679.029415624274	-4.432320978974761	-6679.029415624274	1.1266748952129264	-4.432320978974761	0.665045662543729
2000	-6684.340636774725	-6679.370073364477	-4.97056341024749	-6679.370073364477	1.098667392813893	-4.97056341024749	0.5217775470929106
3000	-6684.283764486337	-6677.566628024033	-6.717136462304047	-6677.566628024033	1.204781344091335	-6.717136462304047	2.091499839249466
4000	-6689.692988919072	-6680.599167897435	-9.093821021637313	-6680.599167897435	1.098191597168763	-9.093821021637313	3.021750113338316
5000	-6686.9238911414695	-6682.61018476848	-4.313706372989499	-6682.61018476848	0.9927118165627717	-4.313706372989499	1.3318880134688518
6000	-6685.055655251928	-6680.2837736782485	-4.771881573680179	-6680.2837736782485	1.2145934956253206	-4.771881573680179	0.6135311520893546
7000	-6684.210494009958	-6679.805114272526	-4.4053797374315895	-6679.805114272526	1.014503316177956	-4.4053797374315895	0.6425551284125376
8000	-6684.825284671375	-6680.335405808789	-4.489878862586153	-6680.335405808789	1.1372767926383789	-4.489878862586153	1.2008770932007462
9000	-6681.896830317978	-6677.380443880494	-4.516386437484054	-6677.380443880494	1.1126063854675503	-4.516386437484054	0.7015998660075885
10000	-6682.165680112754	-6677.701034924274	-4.464645188480212	-6677.701034924274	1.1014187254874097	-4.464645188480212	0.660793541005109
11000	-6681.465928105575	-6677.029890642795	-4.436037462779475	-6677.029890642795	1.1148846292319765	-4.436037462779475	1.1656083655259104
12000	-6682.613442310071	-6677.8870700036205	-4.726372306450579	-6677.8870700036205	1.2130519916249143	-4.726372306450579	1.1754508651106856
13000	-6685.337124567646	-6679.769228583484	-5.567895984162842	-6679.769228583484	1.1739870764679246	-5.567895984162842	1.6526123119734095
14000	-6684.930054204296	-6679.171733271658	-5.758320932637481	-6679.171733271658	1.0664249248730415	-5.758320932637481	2.185248615075055
15000	-6687.662304125268	-6682.4548607119295	-5.207443413338197	-6682.4548607119295	1.3419509763547037	-5.207443413338197	1.1704115536870838
16000	-6682.533441672976	-6678.207318363025	-4.326123309951294	-6678.207318363025	1.1221618433030704	-4.326123309951294	1.0168848882720931
17000	-6693.958017301084	-6684.406157682288	-9.551859618795667	-6684.406157682288	1.1941324878522908	-9.551859618795667	3.190920689591202
18000	-6682.696866111058	-6678.070503067373	-4.626363043685359	-6678.070503067373	1.170007133232789	-4.626363043685359	1.0132782481476856
19000	-6684.3689434041735	-6679.704831476975	-4.6641119271976414	-6679.704831476975	1.0580607110055937	-4.6641119271976414	1.6341526439206302
20000	-6686.7301476418215	-6682.414189651203	-4.3159579906189744	-6682.414189651203	0.9870297635380014	-4.3159579906189744	0.6548540481002751
21000	-6681.9758288236535	-6677.346507070495	-4.6293217531587665	-6677.346507070495	1.2146632134749165	-4.6293217531587665	1.0608127909948684
22000	-6681.98705917687	-6677.814308948413	-4.172750228457408	-6677.814308948413	1.0568502467118324	-4.172750228457408	1.0185689502691229
23000	-6684.573965997141	-6678.132516829986	-6.441449167154632	-6678.132516829986	1.075488820183901	-6.441449167154632	2.3049959686061716
24000	-6683.166042656971	-6677.632472986495	-5.533569670475619	-6677.632472986495	1.2380290489982195	-5.533569670475619	0.39073956669247767
25000	-6685.071646397539	-6679.717513015181	-5.35413338235799	-6679.717513015181	1.3131133436548215	-5.35413338235799	0.43180744981700425
26000	-6685.778979370187	-6680.7594888815165	-5.019490488670539	-6680.7594888815165	1.260983348994907	-5.019490488670539	0.5993972539561577
27000	-6682.305793535764	-6677.573851343366	-4.731942192397726	-6677.573851343366	1.186478141372342	-4.731942192397726	1.2139427132887173
28000	-6683.161199096076	-6678.515286126851	-4.645912969226071	-6678.515286126851	1.0972260259905484	-4.645912969226071	1.2341126704665326
29000	-6686.527267036112	-6679.976657690383	-6.550609345728699	-6679.976657690383	1.0276046115064745	-6.550609345728699	2.341203360830226
30000	-6685.422626590292	-6680.413066533468	-5.0095600568239815	-6680.413066533468	1.25159750272058	-5.0095600568239815	0.5729984842172905
31000	-6683.97741793359	-6679.565835790478	-4.411582143112458	-6679.565835790478	1.0542567341732134	-4.411582143112458	0.9764563536503886
32000	-6682.713697715388	-6678.053454537242	-4.660243178145739	-6678.053454537242	1.1926180857231892	-4.660243178145739	0.7119110063452846
33000	-6683.424718235052	-6678.663115653301	-4.76160258175104	-6678.663115653301	1.0939151103595082	-4.76160258175104	1.2632432774729152
34000	-6682.553882207413	-6677.496815480848	-5.057066726564477	-6677.496815480848	1.074164234757135	-5.057066726564477	0.4709830867343304
35000	-6681.800535690309	-6677.288550739011	-4.511984951297206	-6677.288550739011	1.10761091263075	-4.511984951297206	0.7088583932709764
36000	-6683.129175403901	-6677.802353583742	-5.326821820159619	-6677.802353583742	1.1767640782397892	-5.326821820159619	1.5219470291654964
37000	-6683.06890339621	-6678.441739969955	-4.627163426254773	-6678.441739969955	1.1566377828046226	-4.627163426254773	0.7794900478685843
38000	-6687.6126229456695	-6683.162761007237	-4.449861938431921	-6683.162761007237	1.1817040701285335	-4.449861938431921	0.9991577682254774
39000	-6686.220840040714	-6681.737786608695	-4.483053432018952	-6681.737786608695	1.1429390045163441	-4.483053432018952	0.9857362851479904
40000	-6684.162431976308	-6679.211556459416	-4.950875516891361	-6679.211556459416	1.0633119078301565	-4.950875516891361	1.7486938839204844
41000	-6686.348362522207	-6681.524887816554	-4.82347470565289	-6681.524887816554	1.2190359903010755	-4.82347470565289	0.6860491606533229
42000	-6682.015404145533	-6677.6241264480905	-4.391277697441712	-6677.6241264480905	1.172809442865333	-4.391277697441712	0.8150429110871994
43000	-6682.646803789818	-6677.236266736686	-5.4105370531315	-6677.236266736686	1.1146827765260074	-5.4105370531315	1.7042758449718707
44000	-6687.219591067352	-6680.096711472645	-7.1228795947058865	-6680.096711472645	1.0996292159273642	-7.1228795947058865	2.4145933439407323
45000	-6682.887802790114	-6678.217521289611	-4.670281500503225	-6678.217521289611	1.082803745653866	-4.670281500503225	0.5587962005052851
46000	-6684.8099911058835	-6677.793997953063	-7.015993152820155	-6677.793997953063	1.1804041667380958	-7.015993152820155	2.3258574521747946
47000	-6685.250303922366	-6678.08663913882	-7.1636647835454	-6678.08663913882	1.0943541442093199	-7.1636647835454	2.3967302889810713
48000	-6682.800355957007	-6677.9411344269	-4.8592215301068595	-6677.9411344269	1.0729128565073018	-4.8592215301068595	1.6663658832771386
49000	-6686.413198583928	-6681.515760199201	-4.897438384726552	-6681.515760199201	1.1274819613782074	-4.897438384726552	1.441935809039278
50000	-6685.674485071244	-6681.101174436206	-4.573310635037677	-6681.101174436206	1.1788878563756227	-4.573310635037677	0.8898171448064459
51000	-6682.786469486739	-6677.212751525731	-5.57371796100859	-6677.212751525731	1.103358104523175	-5.57371796100859	0.3722443152111762
52000	-6681.516470722927	-6676.896957124514	-4.619513598412837	-6676.896957124514	1.1403097311231052	-4.619513598412837	0.6509246439204787
53000	-6682.633207365965	-6677.155070544063	-5.4781368219016295	-6677.155070544063	1.1812937458955257	-5.4781368219016295	1.667040530871222
54000	-6682.258663244304	-6676.972986157546	-5.285677086758158	-6676.972986157546	1.1279085812044825	-5.285677086758158	1.7264560490562164
55000	-6681.933500061373	-6677.425264730723	-4.508235330649747	-6677.425264730723	1.193229338812528	-4.508235330649747	1.0043417191045005
56000	-6681.419914231421	-6677.136878970137	-4.283035261283745	-6677.136878970137	1.1252267243559988	-4.283035261283745	0.9112363403381808
57000	-6684.543137398032	-6679.951726827829	-4.591410570202836	-6679.951726827829	1.1138207780566294	-4.591410570202836	1.1645590976979765
58000	-6685.969899165708	-6679.599255510385	-6.370643655323285	-6679.599255510385	1.219454826000536	-6.370643655323285	0.2779621595902086
59000	-6686.344674555695	-6681.108135820048	-5.236538735646656	-6681.108135820048	1.1888763203788215	-5.236538735646656	1.5229180222669052
60000	-6681.77046576933	-6677.315441535298	-4.455024234031889	-6677.315441535298	1.1187756845746244	-4.455024234031889	0.8291401173216502
61000	-6683.450996402213	-6677.898957876799	-5.552038525413911	-6677.898957876799	1.138388027460774	-5.552038525413911	1.7217193710842305
62000	-6682.733895658607	-6678.327598926909	-4.406296731698575	-6678.327598926909	1.0602325922057934	-4.406296731698575	1.1541513297812296
63000	-6682.822113038523	-6678.161903077999	-4.660209960523034	-6678.161903077999	1.2580823856333656	-4.660209960523034	0.7545159414016089
64000	-6686.913659525463	-6681.585332307364	-5.328327218098536	-6681.585332307364	1.1081332724591635	-5.328327218098536	1.4523851697995205
65000	-6684.625754184578	-6678.177837595793	-6.447916588785002	-6678.177837595793	1.2670120640522855	-6.447916588785002	0.2748964688745913
66000	-6684.006617577084	-6679.374634917296	-4.631982659788537	-6679.374634917296	1.147666820053051	-4.631982659788537	0.9841705244300842
67000	-6685.2797968946015	-6679.559063702916	-5.720733191685604	-6679.559063702916	1.2171526028986703	-5.720733191685604	1.573191563366026
68000	-6684.447021375107	-6679.397941945269	-5.049079429838782	-6679.397941945269	1.0696170407108407	-5.049079429838782	1.5557357679153674
69000	-6682.707432314279	-6678.155963495381	-4.551468818897904	-6678.155963495381	1.1451937921627056	-4.551468818897904	1.131682272924127
70000	-6687.276015287521	-6682.141632555132	-5.13438273238898	-6682.141632555132	1.0161903175524865	-5.13438273238898	0.4339853206917592
71000	-6686.876112619024	-6680.599183057368	-6.276929561656238	-6680.599183057368	1.1043107582712646	-6.276929561656238	0.2861290207435121
72000	-6681.878050140543	-6677.244840473826	-4.633209666716187	-6677.244840473826	1.138309193946813	-4.633209666716187	1.292951257644995
73000	-6683.677550786359	-6678.790258397757	-4.887292388602157	-6678.790258397757	1.276062943884071	-4.887292388602157	1.147969718729594
74000	-6683.753937564479	-6678.864680080747	-4.889257483731891	-6678.864680080747	1.0366753935819624	-4.889257483731891	0.49938341872459713
75000	-6682.413226094844	-6677.722965929456	-4.690260165387102	-6677.722965929456	1.0959264911503415	-4.690260165387102	1.3864242045038715
