#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment" name="distribution" x="@birthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-7522.194076429873	-7519.4036585059785	-2.790417923895152	-7519.4036585059785	1.0120555950141785	-2.790417923895152	1.0
1000	-6061.847613983786	-6057.799903625018	-4.047710358767775	-6057.799903625018	1.2539318865221092	-4.047710358767775	0.7857353873637722
2000	-6062.736786286071	-6058.912597253861	-3.8241890322100405	-6058.912597253861	0.9422512465143077	-3.8241890322100405	2.1568055345726656
3000	-6063.071290837484	-6057.114952901945	-5.956337935539895	-6057.114952901945	1.1505901923689092	-5.956337935539895	2.712368592460228
4000	-6061.101623340535	-6056.95547755746	-4.146145783075184	-6056.95547755746	1.0445425920345917	-4.146145783075184	2.0018455909527515
5000	-6061.230678614288	-6057.342579823613	-3.888098790675382	-6057.342579823613	1.1220958845637934	-3.888098790675382	1.5119719555394302
6000	-6061.372917470683	-6056.417425819936	-4.955491650746384	-6056.417425819936	1.1337992931325385	-4.955491650746384	0.42855614583093093
7000	-6060.751216625668	-6057.33757965971	-3.4136369659582426	-6057.33757965971	1.0222895357393638	-3.4136369659582426	0.9521966045592267
8000	-6062.658905793638	-6058.276188444895	-4.382717348743803	-6058.276188444895	1.0623308904283224	-4.382717348743803	2.164729453214401
9000	-6062.441869950888	-6058.693530458717	-3.748339492171108	-6058.693530458717	1.148371899236711	-3.748339492171108	1.20122214009756
10000	-6060.350461241852	-6056.32365441589	-4.026806825962188	-6056.32365441589	1.086550066137153	-4.026806825962188	1.8075341345469988
11000	-6060.475559276228	-6056.707452583518	-3.7681066927096065	-6056.707452583518	1.1820025954856936	-3.7681066927096065	1.2292323552112963
12000	-6064.447507875156	-6060.052590564854	-4.3949173103017145	-6060.052590564854	0.9320774436999549	-4.3949173103017145	0.4949902427191286
13000	-6061.789803784229	-6058.249272122591	-3.5405316616379254	-6058.249272122591	1.0845348891556692	-3.5405316616379254	0.9690558212212901
