Sample	posterior	ESS(posterior)	likelihood	prior	
0	-4868.565849185649	3.2	-4865.053442137352	-3.5124070482969234	
1	-4868.565849185649	3.2	-4865.053442137352	-3.5124070482969234	
2	-4868.565849185649	3.2	-4865.053442137352	-3.5124070482969234	
3	-4867.97470430317	3.3	-4863.8927506923665	-4.081953610804025	
4	-4868.215257741254	3.4	-4862.625768769422	-5.5894889718324166	
5	-4868.215257741254	3.4	-4862.625768769422	-5.5894889718324166	
6	-4866.28450968995	3.5	-4861.903734877412	-4.380774812537956	
7	-4866.28450968995	3.5	-4861.903734877412	-4.380774812537956	
8	-4867.286118938536	3.8	-4859.932754695318	-7.3533642432175075	
9	-4862.185503825939	4.0	-4858.310629672858	-3.874874153080495	
10	-4862.185503825939	4.0	-4858.310629672858	-3.874874153080495	
11	-4861.803646260198	4.6	-4857.454229387394	-4.349416872803551	
