Sample	posterior	ESS(posterior)	likelihood	prior
0	-10621.767772491583	N	-10617.53340118047	-4.234371311113178
1000	-8793.873664099836	2.0	-8788.232734771405	-5.640929328430379
2000	-8793.838127608842	3.0	-8787.116895447996	-6.721232160845203
3000	-8801.5030843823	4.0	-8794.30225757239	-7.200826809911369
4000	-8795.74402147675	5.0	-8789.251476534515	-6.492544942235743
5000	-8796.147896439677	6.0	-8790.811564028027	-5.336332411651003
6000	-8796.614262801942	7.0	-8789.5990610942	-7.015201707741605
7000	-8792.379511802063	8.0	-8789.873039892918	-2.5064719091450653
8000	-8791.177906018956	9.0	-8789.436299454566	-1.7416065643894307
9000	-8789.566954675063	4.7	-8788.75797977376	-0.8089749013026188
10000	-8788.903769127273	3.8	-8788.731110941206	-0.17265818606731997
11000	-8792.22077824996	3.8	-8792.294995329767	0.07421707980628511
12000	-8790.427047810776	3.9	-8789.286980612242	-1.1400671985330435
13000	-8790.025985143091	3.6	-8787.83135477565	-2.194630367440515
14000	-8790.534862177798	3.6	-8789.004949994174	-1.5299121836238787
15000	-8791.186616405363	3.7	-8789.01988447894	-2.1667319264240423
16000	-8800.510233672421	6.4	-8795.122517676937	-5.38771599548468
17000	-8796.688040945526	6.8	-8791.814812315524	-4.873228630001023
18000	-8795.544365328158	6.7	-8791.219275482277	-4.325089845880854
19000	-8794.805050910729	6.6	-8789.15188731461	-5.653163596118518
20000	-8797.930145748936	6.2	-8793.961228296435	-3.9689174525019135
21000	-8793.824659540487	6.6	-8790.37795047609	-3.446709064397977
22000	-8794.151022220009	6.9	-8791.194391189318	-2.956631030690839
23000	-8794.18312164069	7.2	-8791.196780344148	-2.986341296541702
24000	-8794.84308354888	7.5	-8791.971153899125	-2.8719296497551854
25000	-8795.80803619356	7.8	-8790.306541290387	-5.501494903174098
26000	-8789.367226631977	9.1	-8788.059919531377	-1.3073071006003754
27000	-8790.131614874868	9.7	-8789.966093665511	-0.1655212093582028
28000	-8790.44226244539	10.0	-8788.132427454078	-2.3098349913099607
29000	-8792.881255976827	9.9	-8789.600524202904	-3.280731773922497
30000	-8791.879096644443	9.8	-8789.251354089622	-2.6277425548210624
31000	-8794.175893292746	10.4	-8791.386692916596	-2.789200376150796
32000	-8792.00596413753	10.6	-8788.886707236865	-3.119256900664391
33000	-8794.716478460434	11.1	-8790.877400764017	-3.8390776964173114
34000	-8791.733462154345	11.5	-8789.468931757234	-2.2645303971110953
35000	-8793.169355437562	11.9	-8789.801317504583	-3.3680379329780537
36000	-8794.100371791696	12.3	-8790.461949897886	-3.6384218938091566
37000	-8791.696602616892	12.8	-8787.835740376342	-3.8608622405499187
38000	-8796.955150876869	13.8	-8793.926248450276	-3.0289024265922713
39000	-8793.181964985186	14.6	-8791.024678726522	-2.157286258663153
40000	-8793.567791017165	15.0	-8788.756635633064	-4.811155384101465
41000	-8791.74109441427	15.7	-8789.1665353744	-2.574559039870995
42000	-8796.90884502442	16.0	-8794.675355435013	-2.233489589407022
43000	-8793.158287225097	16.5	-8789.104484647303	-4.053802577794123
44000	-8792.503298428353	17.1	-8789.455812324963	-3.0474861033903604
45000	-8792.200019280543	17.7	-8789.256262351317	-2.943756929226603
46000	-8799.73412774145	18.8	-8793.895225145268	-5.83890259618238
47000	-8790.143735382508	20.4	-8786.978313332367	-3.1654220501398216
48000	-8792.520354568984	21.0	-8788.76852924829	-3.751825320695141
49000	-8793.930637617637	21.3	-8791.049643462733	-2.8809941549050717
50000	-8793.471033052727	21.7	-8790.785590161315	-2.6854428914124
51000	-8793.320837552212	22.2	-8789.6545469741	-3.666290578112808
52000	-8791.3343492027	22.9	-8787.366214809574	-3.96813439312666
53000	-8791.305356951516	23.4	-8787.79181123341	-3.5135457181065295
54000	-8793.210395993321	23.9	-8789.54739107078	-3.663004922541208
55000	-8794.675614671125	24.8	-8788.487428197639	-6.188186473485186
56000	-8793.939402455651	25.4	-8790.792343437315	-3.147059018336496
57000	-8791.509647210349	26.1	-8789.53321107544	-1.9764361349084458
58000	-8791.8726966967	26.8	-8789.446858750249	-2.4258379464511304
59000	-8792.816533332178	25.6	-8788.178470205848	-4.6380631263291106
60000	-8795.544855442191	26.8	-8791.480119618796	-4.064735823394435
61000	-8792.337324545058	27.3	-8788.370996056747	-3.9663284883116923
62000	-8798.675650408335	29.1	-8791.733142682891	-6.942507725442816
63000	-8796.40622795374	28.4	-8793.346009646564	-3.060218307175133
64000	-8791.733861714965	30.3	-8787.867858637088	-3.866003077877725
65000	-8794.436101083316	30.3	-8790.922482442158	-3.513618641157447
66000	-8794.36438612245	30.1	-8790.10242604874	-4.261960073711122
67000	-8795.818305249886	30.2	-8791.969622792607	-3.848682457278465
68000	-8791.849752832002	31.1	-8788.321384710556	-3.5283681214459315
69000	-8791.981033354925	28.2	-8789.310281975404	-2.670751379520625
70000	-8791.922334461067	28.8	-8787.820812179218	-4.101522281850128
71000	-8796.549548139621	30.1	-8793.301609002843	-3.247939136777692
